solver_name,6410,6399,5035,6199,5044,6408,5493,5040,6411,6405,5036,3774,6200,6406,5492,,,max,min,mean,median,std
ConsProg-1s,-40,-48.314606741573,-25.9259259259259,-1.06951871657754,-0.632911392405063,-12.1495327102804,-4,5.12820512820513,-46.1538461538462,-31.9148936170213,-0.847457627118644,19.496855345912,-32.7014218009479,-5.08474576271187,8.33333333333333,3x,,19.496855345912,-48.314606741573,-14.3890977760638,-5.08474576271187,21.3583080046663
ConsProg-10s,-40,-48.314606741573,-25.9259259259259,-21.3903743315508,-0.632911392405063,-12.1495327102804,-4,-1.70940170940171,-46.1538461538462,-31.9148936170213,-0.847457627118644,5.66037735849057,-32.7014218009479,-5.08474576271187,7.69230769230769,2x,,7.69230769230769,-48.314606741573,-17.1648288481323,-12.1495327102804,19.1747075590256
ConsProg-1m,-40,-48.314606741573,-25.9259259259259,-21.3903743315508,-0.632911392405063,-12.1495327102804,-9.71428571428571,-1.70940170940171,-46.1538461538462,-40.4255319148936,-0.847457627118644,0,-34.1232227488152,-5.08474576271187,7.69230769230769,1x,,7.69230769230769,-48.314606741573,-18.5853023360334,-12.1495327102804,19.1658961451865
ConsProg-10m,-40,-48.314606741573,-25.9259259259259,-21.3903743315508,-0.632911392405063,-12.1495327102804,-9.71428571428571,-1.70940170940171,-46.1538461538462,-42.0212765957447,-0.847457627118644,0,-34.1232227488152,-5.08474576271187,-1.28205128205128,0x,,0,-48.314606741573,-19.2899759130474,-12.1495327102804,18.5478773286884
ConsProg-1h,-40,-48.314606741573,-25.9259259259259,-21.3903743315508,-0.632911392405063,-12.1495327102804,-12,-1.70940170940171,-46.1538461538462,-42.0212765957447,-0.847457627118644,0,-34.1232227488152,-5.08474576271187,-1.28205128205128,,,0,-48.314606741573,-19.4423568654283,-12.1495327102804,18.4728259001305
,,,,,,,,,,,,,,,,,,,,,,
,5,2.808988764045,-2.4691358024692,31.0160427807486,52.5316455696203,11.214953271028,25.1428571428572,1.709401709402,9.2307692307692,22.3404255319149,66.9491525423729,21.3836477987421,36.9668246445498,27.9661016949152,46.1538461538461,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GenGreedy-HighInt,,233,100,215,426,186,233,274,51,152,281,236,227,370,230,,,,,,,
GenGreedy-LowInt,,191,100,215,231,156,203,252,51,152,220,192,227,187,199,,,,,,,
GreedyLength-HighInt,,225,100,208,425,185,214,273,49,128,281,220,165,369,230,,,,,,,
GreedyLength-LowInt,,149,100,208,231,141,178,252,49,128,163,192,165,188,194,,,,,,,
GreedyRes-HighInt,,225,100,208,425,185,214,273,43,128,281,220,165,369,230,,,,,,,
GreedyRes-LowInt,,149,100,208,231,142,178,252,43,128,155,192,165,188,194,,,,,,,
Doubling-HighInt-Full,,250,101,309,626,249,314,481,67,213,314,369,270,673,377,,,,,,,
Doubling-HighInt-Half,,226,98,266,625,202,250,403,49,170,322,338,242,483,298,,,,,,,
Doubling-LowInt-Full,,171,101,309,331,205,261,282,67,213,237,249,277,222,321,,,,,,,
Doubling-LowInt-Half,,154,98,266,314,154,222,254,49,170,234,226,243,221,266,,,,,,,
ConsProg,,92,60,185,157,94,168,123,35,128,117,190,142,112,169,,,,,,,
ConsProg,,92,60,147,157,94,168,115,35,128,117,168,142,112,168,,,,,,,
ConsProg,,92,60,147,157,94,158,115,35,112,117,159,139,112,168,,,,,,,
ConsProg,,92,60,147,157,94,168,115,35,128,117,168,142,112,168,,,,,,,
ConsProg,,92,60,147,157,94,154,115,35,109,117,159,139,112,154,,,,,,,
ConsProg,,92,60,147,157,94,158,115,35,109,117,159,139,112,154,,,,,,,
